ds,yhat,yhat_lower,yhat_upper
2020-04-17,32896.24742783193,25795.261514554666,39998.54576450731
2020-04-18,35206.784360489444,28017.71865868037,41845.80487496844
2020-04-19,35576.061960817344,28853.373014165805,42924.524884572485
2020-04-20,33250.38566707718,26570.74363100294,40263.81798351903
2020-04-21,32463.413657641555,25481.03515756,39278.797988921266
2020-04-22,32655.786154214547,25798.51538683028,39824.42063843498
2020-04-23,32476.30443353343,25555.53525799197,39326.59618600681
2020-04-24,32843.12946190203,25871.547439990652,39750.65945119988
2020-04-25,35154.22716864594,28091.484130264544,42159.292352862474
2020-04-26,35523.13447661812,28073.446311959186,42364.814139733535
2020-04-27,33194.13951560178,25895.382541315434,39310.696001108365
2020-04-28,32405.6704237445,25434.098300053556,38915.73303983299
2020-04-29,32596.702395346085,25576.520570909943,39707.236628933955
2020-04-30,32413.389853855355,25454.675817445157,39334.51999187581
2020-05-01,32774.43549877213,25988.918895827126,39280.25993403999
2020-05-02,35079.1303780323,28115.272370684605,42522.42017470737
2020-05-03,35435.33319404752,29176.29589948697,42547.5852041451
2020-05-04,33086.05454157002,26204.311230327636,40153.435419490925
2020-05-05,32275.367197896656,25544.277886368825,38900.249288053434
2020-05-06,32441.558681352493,25639.21439069508,39261.251032030974
2020-05-07,32229.18209637214,25954.382320108634,39034.38478931846
2020-05-08,32558.55994866214,25402.47670500809,39601.20547054831
2020-05-09,34831.383364503745,28178.694373263126,41315.95730709907
2020-05-10,35150.87011643598,28266.310238338356,42297.61419873266
2020-05-11,32759.720474504316,26064.34009642817,39837.897713992024
2020-05-12,31908.519681084614,25089.45446946781,38857.804811085996
2020-05-13,32035.61066996561,25148.378815430766,39454.728973974095
2020-05-14,31784.54287626672,25200.222406722143,38976.92418083428
2020-05-15,32077.695310416544,25031.38380640637,38857.72217508346
2020-05-16,34319.42497269337,27795.453502653414,41143.604811076046
2020-05-17,34608.39939034149,27529.136330520476,41416.48700356371
2020-05-18,32186.925616828386,25213.22414462806,38937.41805027902
2020-05-19,31311.851986310023,24515.99714648214,38051.96263894565
2020-05-20,31421.173293816373,24728.244428460745,38289.671780492456
2020-05-21,31156.894561932495,24500.93570022328,38385.95807183233
2020-05-22,31442.79440389151,24217.906573557317,38148.474056882435
2020-05-23,33685.146931754,26656.382818852027,40874.9321088292
2020-05-24,33977.25551122243,27029.470999514833,41170.8184607768
2020-05-25,31560.18310108933,24599.864144371106,38879.44937478612
2020-05-26,30696.18201260854,23619.44580155426,37145.43410707851
2020-05-27,30822.0598554852,23643.905658634998,37753.08998378901
2020-05-28,30577.48522291129,23697.377070285405,37449.08084743894
2020-05-29,30886.916098170535,23785.35803991647,37561.515022691114
2020-05-30,33157.91702657837,26457.932107928293,40105.09536535722
2020-05-31,33477.91220620904,26926.35319939896,40109.49850828451
2020-06-01,31086.33109696307,24202.948892116838,37939.60822841503
2020-06-02,30250.575533505373,23274.572287223822,36977.972578549234
2020-06-03,30406.150970190636,23685.319391198776,37316.63927612628
2020-06-04,30190.4137289093,23108.07864215196,37166.87700767437
2020-06-05,30528.659294677433,23654.95247581682,37390.5918817879
2020-06-06,32830.02504509805,26058.9976333559,39414.97429268096
2020-06-07,33176.448814545634,26236.796631790618,40030.31429793208
2020-06-08,30806.212282630408,24099.262559258907,37424.728705599286
2020-06-09,29992.424966581406,22891.4271397775,36751.47789543126
2020-06-10,30169.898043219288,23497.71913266322,37520.54787164859
2020-06-11,29974.308993955852,23056.738681445702,36903.10971542133
2020-06-12,30332.425024792024,23059.193548273488,37705.83174125281
2020-06-13,32655.566847336584,26020.660228213255,39540.65287569508
2020-06-14,33020.749311258616,25685.23710572046,40671.95417647816
2020-06-15,30665.601066819996,23346.163191346743,37610.49254042127
2020-06-16,29869.346561653503,22710.19916448279,36734.36545707058
2020-06-17,30066.406832554578,22697.337529361856,37371.44680085753
2020-06-18,29890.96973341223,23433.745186959273,36649.75526697895
2020-06-19,30271.340853704507,22961.225426606656,37005.64058696036
2020-06-20,32620.965167136183,26067.314805559785,39477.91977814647
2020-06-21,33011.75109451431,26235.65130647952,39602.48004786711
2020-06-22,30680.372300260253,23647.059293606428,37632.41766906887
2020-06-23,29911.757852914157,23053.365038874086,37006.881965818495
2020-06-24,30139.434103847954,23537.743833110624,36606.870368823416
2020-06-25,29995.518099541256,22680.476854495344,36873.98240539661
2020-06-26,30409.21649612482,23693.268163212575,36957.59959968788
2020-06-27,32795.427782633735,26003.776813055378,40149.245787863045
2020-06-28,33220.27393339892,26145.724348807584,39936.781590091414
2020-06-29,30918.809141332964,24458.029877373618,37422.15372377266
2020-06-30,30181.042758735548,23877.598344266386,36833.816086892904
2020-07-01,30439.04586891708,23464.094057948903,37017.24028711312
2020-07-02,30322.38968436579,23378.15937405327,37150.322637156634
2020-07-03,30760.811717347613,23707.458345188134,37877.1837539401
2020-07-04,33170.41464500936,26303.435395048808,40207.801974621114
2020-07-05,33611.41787097905,26525.353526652376,40913.450537158344
2020-07-06,31317.281337584514,24625.42973764467,38332.1849174019
2020-07-07,30583.264915530173,23796.881436606942,37591.39040201815
2020-07-08,30840.298711175717,23237.450488721588,38107.645647430945
2020-07-09,30715.860864145907,23900.78486270241,38366.14201294581
2020-07-10,31140.8009064527,23777.446651370887,37845.094469984884
2020-07-11,33533.121010783696,26749.5558506932,40432.09580029774
2020-07-12,33947.92944033101,26933.3478808452,40581.509339325756
2020-07-13,31617.958205187508,24928.82867985487,39160.59331492755
2020-07-14,30844.635106111436,24120.158224706516,38015.93432311592
2020-07-15,31058.692159608487,24002.642415144684,37640.20534268099
2020-07-16,30886.456151067938,24170.374492439376,37736.67555347967
2020-07-17,31260.802343219686,24582.431789255745,38301.353475681506
2020-07-18,33602.491911857105,26548.9749607336,40112.59875174638
2020-07-19,33962.30255065193,26869.414283935654,40754.31774342649
2020-07-20,31572.917474445614,24455.30495273118,38830.13936850592
2020-07-21,30742.490558749443,23724.42664186837,37454.13578971047
2020-07-22,30901.976872708718,24318.24168937175,37886.483385329426
2020-07-23,30676.82402331398,23751.883878120098,37713.25280675099
2020-07-24,31002.048662256202,24345.616879580295,38197.24053848672
2020-07-25,33301.12719915589,26163.289538094923,40176.387903616305
2020-07-26,33620.305371993825,27038.38450092861,40238.355567709645
2020-07-27,31191.865057517225,24404.01027247222,38615.30783171636
2020-07-28,30330.19339704389,23617.304493277083,37559.61307086464
2020-07-29,30465.850398156115,23504.156965467526,37138.07383962797
2020-07-30,30222.679611435025,22753.87010492869,37581.99462821407
2020-07-31,30537.028954729292,23308.96204134006,37037.863725222094
2020-08-01,32834.21850355156,26177.012435578556,39565.082446419365
2020-08-02,33155.05433937148,26347.937186340965,40165.72453615243
2020-08-03,30730.49917774036,23426.539276616022,37627.067197365126
2020-08-04,29880.27135575917,23128.919435173764,37138.129785686506
2020-08-05,30033.674416549853,23403.592694696712,36490.19262103183
2020-08-06,29812.150280375532,23464.346810625215,36856.60442222102
2020-08-07,30152.665065842986,23247.1855877055,36939.92748890774
2020-08-08,32481.77150960821,25765.122868670584,39333.019203579985
2020-08-09,32834.34097873862,25571.067970964235,39772.48375090752
2020-08-10,30439.64772259766,23258.939552875887,37238.5881857657
2020-08-11,29622.50317200885,22494.228873228374,36164.1444061579
2020-08-12,29810.84847257496,22865.672787821666,36886.27091870735
2020-08-13,29623.746656477513,22674.12806419318,36753.137630136465
2020-08-14,29998.925683440608,22922.181576844305,36981.449962272934
2020-08-15,32364.423751868755,24870.91425851732,39273.89595877156
2020-08-16,32749.52423518673,25879.052171027983,39079.856444349134
2020-08-17,30382.235395406602,23289.919530129006,37245.67842153813
2020-08-18,29592.93959130719,22755.064372960696,36877.7186901625
2020-08-19,29808.726878614256,22792.757872375205,36685.54265186512
2020-08-20,29646.80363586342,22702.831520235028,37197.140760227725
2020-08-21,30046.170454923784,22801.182416781572,37621.68900046394
2020-08-22,32436.82898812266,25268.221326689814,38868.920386234444
2020-08-23,32842.90027579329,26212.77669033405,39770.09137193563
2020-08-24,30491.482955405667,23547.655026801363,36892.75852703828
2020-08-25,29718.80364724654,22549.722602115104,37068.98378255813
2020-08-26,29951.281668933058,22766.202665515488,36554.87681908285
2020-08-27,29804.348365574693,23353.512728878417,37083.5519126772
2020-08-28,30218.25857596414,23371.807742663583,37414.216532080965
2020-08-29,32624.8623310271,25456.575459871325,39405.65006223344
2020-08-30,33042.91442393231,25444.745609040132,40072.66681668164
2020-08-31,30698.323292151028,24122.219629091553,37329.50156569578
2020-09-01,29932.81868834876,23000.802140904885,36468.17234266237
2020-09-02,30171.767024454402,23904.70434507539,37382.34766528283
2020-09-03,30028.423654727212,22737.405884921645,37075.63162696924
2020-09-04,30443.90210882095,23728.326475409373,37701.31947916533
2020-09-05,32851.535893040586,26356.482923658736,39446.44906487935
2020-09-06,33264.404667732626,26588.904443302545,39634.01111179514
2020-09-07,30906.998294333058,23929.274781392505,38109.20938964555
